iter	Logloss
137	0.1616459278
138	0.161088141
139	0.1600216261
140	0.1587431153
141	0.1584414484
142	0.1579445761
143	0.1568148566
144	0.1563522852
145	0.1559138908
146	0.1551502047
147	0.1538830846
148	0.1535571583
149	0.1535385494
150	0.1524628286
151	0.1521446844
152	0.1511604678
153	0.1509187111
154	0.1508143719
155	0.1495167701
156	0.149378773
157	0.1493007696
158	0.1492638384
159	0.1489122485
160	0.1457596888
161	0.1453336023
162	0.1449855672
163	0.1447780143
164	0.1444457545
165	0.1443919386
166	0.1436724179
167	0.1435988411
168	0.1434178495
169	0.1430715238
170	0.1429892978
171	0.1429446546
172	0.1416389355
173	0.1413784035
174	0.1404971211
175	0.1403282792
176	0.1396785122
177	0.1396104884
178	0.1392516808
179	0.1383021735
180	0.1375931105
181	0.137447254
182	0.1374179703
183	0.1366009883
184	0.1363462363
185	0.1362150172
186	0.1361458657
187	0.136136402
188	0.1355700994
189	0.1345367882
190	0.1343194962
191	0.1342368109
192	0.133772223
193	0.1337603515
194	0.1333527636
195	0.1313283614
196	0.1312634421
197	0.130752409
198	0.1301447902
199	0.129941462
200	0.129843779
201	0.1295116287
202	0.1277849314
203	0.1277279027
204	0.1276169483
205	0.1275485298
206	0.1272870397
207	0.126946317
208	0.1254982621
209	0.1246626683
210	0.1244780917
211	0.1241301424
212	0.1240445001
213	0.1239568114
214	0.1232308997
215	0.1225018061
216	0.1223273395
217	0.1216902662
218	0.1214278611
219	0.1210601452
220	0.1204048523
221	0.1201730548
222	0.1199804661
223	0.1198500724
224	0.1195809398
225	0.1187991928
226	0.1187117307
227	0.1186925977
228	0.118478114
229	0.1184060946
230	0.1183654126
231	0.1181979354
232	0.1181711427
233	0.1181348808
234	0.1181086553
235	0.1179744415
236	0.1179432177
237	0.1177615311
238	0.1164347712
239	0.1164077845
240	0.1161417677
241	0.115949976
242	0.1158049331
243	0.1149273246
244	0.114806961
245	0.1147448463
246	0.114212998
247	0.1142114657
248	0.1139439927
249	0.1134777292
250	0.1133212713
251	0.1124954844
252	0.1123766049
253	0.1123110754
254	0.111853038
255	0.1113305064
256	0.1112433461
257	0.1110496545
258	0.1109462806
259	0.1108162765
260	0.1107907812
261	0.1105155351
262	0.110424682
263	0.110368611
264	0.1102498697
265	0.1100119164
266	0.109983738
267	0.1098634614
268	0.1094714931
269	0.1091814352
270	0.1091557582
271	0.1088994251
272	0.1085491631
273	0.1080864492
274	0.1080669287
275	0.1079418153
276	0.1078717082
277	0.1077311244
278	0.1071120332
279	0.1070891303
280	0.1070435938
281	0.1070178957
282	0.1068262144
283	0.106572531
284	0.106382789
285	0.1061500664
286	0.1061500469
287	0.1055931667
288	0.1055724202
289	0.1054538774
290	0.1050411947
291	0.1047714105
292	0.1047311334
293	0.1046340654
294	0.1044158002
295	0.1043644128
296	0.1042291588
297	0.1042012352
298	0.1038064699
299	0.103715116
300	0.1034498294
301	0.1032837379
302	0.1027803595
303	0.1026722491
304	0.1024335954
305	0.1023432556
306	0.1020109111
307	0.1019913013
308	0.1017718114
309	0.101013252
310	0.1008566117
311	0.1007612783
312	0.1007564944
313	0.1006350871
314	0.1005439404
315	0.1004112248
316	0.1003788648
317	0.1001509607
318	0.1001016742
319	0.09968780331
320	0.09967441937
321	0.09934675714
322	0.09913387187
323	0.09854691352
324	0.09827754629
325	0.09814931101
326	0.09766340017
327	0.09722614583
328	0.09722605768
329	0.09716330861
330	0.0971038717
331	0.09693505292
332	0.09665181673
333	0.09649930459
334	0.0958593782
335	0.09540593719
336	0.09535352386
337	0.0952933215
338	0.0951955082
339	0.09499010901
340	0.09462590586
341	0.0946188443
342	0.0945198147
343	0.09433658473
344	0.09432261828
345	0.09431410621
346	0.09415208472
347	0.0940997285
348	0.09370644228
349	0.09358674637
350	0.09350645753
351	0.09343526617
352	0.09342410187
353	0.09306147259
354	0.09303698273
355	0.09290553275
356	0.09268921035
357	0.09218447213
358	0.09186844707
359	0.09178657675
360	0.09165113893
361	0.09163325356
362	0.09155464038
363	0.09086569707
364	0.09041515054
365	0.0900472904
366	0.08982259381
367	0.08968170649
368	0.08942969149
369	0.08937083345
370	0.08924516092
371	0.08900555884
372	0.08882405682
373	0.08849492755
374	0.08821946268
375	0.08803035905
376	0.08789264564
377	0.08749776066
378	0.08746539022
379	0.08735470721
380	0.08719505424
381	0.08717466509
382	0.08716519134
383	0.08687507911
384	0.08682125779
385	0.08676930546
386	0.08663676181
387	0.0866144791
388	0.08653759724
389	0.08602567463
390	0.08594994787
391	0.08591218684
392	0.08579637833
393	0.08573770844
394	0.08560362632
395	0.08544511929
396	0.08544034133
397	0.0852685007
398	0.08503538934
399	0.08501644805
